Date,Public_Health_Unit
2020-01-26,Eastern Ontario
2020-01-27,Eastern Ontario
2020-01-28,Eastern Ontario
2020-01-29,Eastern Ontario
2020-01-30,Eastern Ontario
2020-01-31,Eastern Ontario
2020-02-01,Eastern Ontario
2020-02-02,Eastern Ontario
2020-02-03,Eastern Ontario
2020-02-04,Eastern Ontario
2020-02-05,Eastern Ontario
2020-02-06,Eastern Ontario
2020-02-07,Eastern Ontario
2020-02-08,Eastern Ontario
2020-02-09,Eastern Ontario
2020-02-10,Eastern Ontario
2020-02-11,Eastern Ontario
2020-02-12,Eastern Ontario
2020-02-13,Eastern Ontario
2020-02-14,Eastern Ontario
2020-02-15,Eastern Ontario
2020-02-16,Eastern Ontario
2020-02-17,Eastern Ontario
2020-02-18,Eastern Ontario
2020-02-19,Eastern Ontario
2020-02-20,Eastern Ontario
2020-02-21,Eastern Ontario
2020-02-22,Eastern Ontario
2020-02-23,Eastern Ontario
2020-02-24,Eastern Ontario
2020-02-25,Eastern Ontario
2020-02-26,Eastern Ontario
2020-02-27,Eastern Ontario
2020-02-28,Eastern Ontario
2020-02-29,Eastern Ontario
2020-03-01,Eastern Ontario
2020-03-02,Eastern Ontario
2020-03-03,Eastern Ontario
2020-03-04,Eastern Ontario
2020-03-05,Eastern Ontario
2020-03-06,Eastern Ontario
2020-03-07,Eastern Ontario
2020-03-08,Eastern Ontario
2020-03-09,Eastern Ontario
2020-03-10,Eastern Ontario
2020-03-11,Eastern Ontario
2020-03-12,Eastern Ontario
2020-03-13,Eastern Ontario
2020-03-14,Eastern Ontario
2020-03-15,Eastern Ontario
2020-03-16,Eastern Ontario
2020-03-17,Eastern Ontario
2020-03-18,Eastern Ontario
2020-03-19,Eastern Ontario
2020-03-20,Eastern Ontario
2020-01-25,pending
2020-01-26,pending
2020-01-27,pending
2020-01-28,pending
2020-01-29,pending
2020-01-30,pending
2020-01-31,pending
2020-02-01,pending
2020-02-02,pending
2020-02-03,pending
2020-02-04,pending
2020-02-05,pending
2020-02-06,pending
2020-02-07,pending
2020-02-08,pending
2020-02-09,pending
2020-02-10,pending
2020-02-11,pending
2020-02-12,pending
2020-02-13,pending
2020-02-14,pending
2020-02-15,pending
2020-02-16,pending
2020-02-17,pending
2020-02-18,pending
2020-02-19,pending
2020-02-20,pending
2020-02-21,pending
2020-02-22,pending
2020-02-23,pending
2020-02-24,pending
2020-02-25,pending
2020-02-26,pending
2020-02-27,pending
2020-02-28,pending
2020-02-29,pending
2020-03-01,pending
2020-03-02,pending
2020-03-03,pending
2020-03-04,pending
2020-03-05,pending
2020-03-06,pending
2020-03-07,pending
2020-03-08,pending
2020-03-09,pending
2020-03-10,pending
2020-03-11,pending
2020-03-12,pending
2020-03-13,pending
2020-03-14,pending
2020-03-15,pending
2020-03-16,pending
2020-03-17,pending
2020-03-18,pending
2020-03-19,pending
2020-03-20,pending
2020-01-25,Grey Bruce
2020-01-26,Grey Bruce
2020-01-27,Grey Bruce
2020-01-28,Grey Bruce
2020-01-29,Grey Bruce
2020-01-30,Grey Bruce
2020-01-31,Grey Bruce
2020-02-01,Grey Bruce
2020-02-02,Grey Bruce
2020-02-03,Grey Bruce
2020-02-04,Grey Bruce
2020-02-05,Grey Bruce
2020-02-06,Grey Bruce
2020-02-07,Grey Bruce
2020-02-08,Grey Bruce
2020-02-09,Grey Bruce
2020-02-10,Grey Bruce
2020-02-11,Grey Bruce
2020-02-12,Grey Bruce
2020-02-13,Grey Bruce
2020-02-14,Grey Bruce
2020-02-15,Grey Bruce
2020-02-16,Grey Bruce
2020-02-17,Grey Bruce
2020-02-18,Grey Bruce
2020-02-19,Grey Bruce
2020-02-20,Grey Bruce
2020-02-21,Grey Bruce
2020-02-22,Grey Bruce
2020-02-23,Grey Bruce
2020-02-24,Grey Bruce
2020-02-25,Grey Bruce
2020-02-26,Grey Bruce
2020-02-27,Grey Bruce
2020-02-28,Grey Bruce
2020-02-29,Grey Bruce
2020-03-01,Grey Bruce
2020-03-02,Grey Bruce
2020-03-03,Grey Bruce
2020-03-04,Grey Bruce
2020-03-05,Grey Bruce
2020-03-06,Grey Bruce
2020-03-07,Grey Bruce
2020-03-08,Grey Bruce
2020-03-09,Grey Bruce
2020-03-10,Grey Bruce
2020-03-11,Grey Bruce
2020-03-12,Grey Bruce
2020-03-13,Grey Bruce
2020-03-14,Grey Bruce
2020-03-15,Grey Bruce
2020-03-16,Grey Bruce
2020-03-17,Grey Bruce
2020-03-18,Grey Bruce
2020-03-19,Grey Bruce
2020-03-20,Grey Bruce
2020-01-25,Peterborough
2020-01-26,Peterborough
2020-01-27,Peterborough
2020-01-28,Peterborough
2020-01-29,Peterborough
2020-01-30,Peterborough
2020-01-31,Peterborough
2020-02-01,Peterborough
2020-02-02,Peterborough
2020-02-03,Peterborough
2020-02-04,Peterborough
2020-02-05,Peterborough
2020-02-06,Peterborough
2020-02-07,Peterborough
2020-02-08,Peterborough
2020-02-09,Peterborough
2020-02-10,Peterborough
2020-02-11,Peterborough
2020-02-12,Peterborough
2020-02-13,Peterborough
2020-02-14,Peterborough
2020-02-15,Peterborough
2020-02-16,Peterborough
2020-02-17,Peterborough
2020-02-18,Peterborough
2020-02-19,Peterborough
2020-02-20,Peterborough
2020-02-21,Peterborough
2020-02-22,Peterborough
2020-02-23,Peterborough
2020-02-24,Peterborough
2020-02-25,Peterborough
2020-02-26,Peterborough
2020-02-27,Peterborough
2020-02-28,Peterborough
2020-02-29,Peterborough
2020-03-01,Peterborough
2020-03-02,Peterborough
2020-03-03,Peterborough
2020-03-04,Peterborough
2020-03-05,Peterborough
2020-03-06,Peterborough
2020-03-07,Peterborough
2020-03-08,Peterborough
2020-03-09,Peterborough
2020-03-10,Peterborough
2020-03-11,Peterborough
2020-03-12,Peterborough
2020-03-13,Peterborough
2020-03-14,Peterborough
2020-03-15,Peterborough
2020-03-16,Peterborough
2020-03-17,Peterborough
2020-03-18,Peterborough
2020-03-19,Peterborough
2020-03-20,Peterborough
2020-01-25,Wellington Dufferin Guelph
2020-01-26,Wellington Dufferin Guelph
2020-01-27,Wellington Dufferin Guelph
2020-01-28,Wellington Dufferin Guelph
2020-01-29,Wellington Dufferin Guelph
2020-01-30,Wellington Dufferin Guelph
2020-01-31,Wellington Dufferin Guelph
2020-02-01,Wellington Dufferin Guelph
2020-02-02,Wellington Dufferin Guelph
2020-02-03,Wellington Dufferin Guelph
2020-02-04,Wellington Dufferin Guelph
2020-02-05,Wellington Dufferin Guelph
2020-02-06,Wellington Dufferin Guelph
2020-02-07,Wellington Dufferin Guelph
2020-02-08,Wellington Dufferin Guelph
2020-02-09,Wellington Dufferin Guelph
2020-02-10,Wellington Dufferin Guelph
2020-02-11,Wellington Dufferin Guelph
2020-02-12,Wellington Dufferin Guelph
2020-02-13,Wellington Dufferin Guelph
2020-02-14,Wellington Dufferin Guelph
2020-02-15,Wellington Dufferin Guelph
2020-02-16,Wellington Dufferin Guelph
2020-02-17,Wellington Dufferin Guelph
2020-02-18,Wellington Dufferin Guelph
2020-02-19,Wellington Dufferin Guelph
2020-02-20,Wellington Dufferin Guelph
2020-02-21,Wellington Dufferin Guelph
2020-02-22,Wellington Dufferin Guelph
2020-02-23,Wellington Dufferin Guelph
2020-02-24,Wellington Dufferin Guelph
2020-02-25,Wellington Dufferin Guelph
2020-02-26,Wellington Dufferin Guelph
2020-02-27,Wellington Dufferin Guelph
2020-02-28,Wellington Dufferin Guelph
2020-02-29,Wellington Dufferin Guelph
2020-03-01,Wellington Dufferin Guelph
2020-03-02,Wellington Dufferin Guelph
2020-03-03,Wellington Dufferin Guelph
2020-03-04,Wellington Dufferin Guelph
2020-03-05,Wellington Dufferin Guelph
2020-03-06,Wellington Dufferin Guelph
2020-03-07,Wellington Dufferin Guelph
2020-03-08,Wellington Dufferin Guelph
2020-03-09,Wellington Dufferin Guelph
2020-03-10,Wellington Dufferin Guelph
2020-03-11,Wellington Dufferin Guelph
2020-03-12,Wellington Dufferin Guelph
2020-03-13,Wellington Dufferin Guelph
2020-03-14,Wellington Dufferin Guelph
2020-03-15,Wellington Dufferin Guelph
2020-03-16,Wellington Dufferin Guelph
2020-03-17,Wellington Dufferin Guelph
2020-03-18,Wellington Dufferin Guelph
2020-03-19,Wellington Dufferin Guelph
2020-03-20,Wellington Dufferin Guelph
2020-01-25,"Kingston, Frontenac and Lennox & Addington"
2020-01-26,"Kingston, Frontenac and Lennox & Addington"
2020-01-27,"Kingston, Frontenac and Lennox & Addington"
2020-01-28,"Kingston, Frontenac and Lennox & Addington"
2020-01-29,"Kingston, Frontenac and Lennox & Addington"
2020-01-30,"Kingston, Frontenac and Lennox & Addington"
2020-01-31,"Kingston, Frontenac and Lennox & Addington"
2020-02-01,"Kingston, Frontenac and Lennox & Addington"
2020-02-02,"Kingston, Frontenac and Lennox & Addington"
2020-02-03,"Kingston, Frontenac and Lennox & Addington"
2020-02-04,"Kingston, Frontenac and Lennox & Addington"
2020-02-05,"Kingston, Frontenac and Lennox & Addington"
2020-02-06,"Kingston, Frontenac and Lennox & Addington"
2020-02-07,"Kingston, Frontenac and Lennox & Addington"
2020-02-08,"Kingston, Frontenac and Lennox & Addington"
2020-02-09,"Kingston, Frontenac and Lennox & Addington"
2020-02-10,"Kingston, Frontenac and Lennox & Addington"
2020-02-11,"Kingston, Frontenac and Lennox & Addington"
2020-02-12,"Kingston, Frontenac and Lennox & Addington"
2020-02-13,"Kingston, Frontenac and Lennox & Addington"
2020-02-14,"Kingston, Frontenac and Lennox & Addington"
2020-02-15,"Kingston, Frontenac and Lennox & Addington"
2020-02-16,"Kingston, Frontenac and Lennox & Addington"
2020-02-17,"Kingston, Frontenac and Lennox & Addington"
2020-02-18,"Kingston, Frontenac and Lennox & Addington"
2020-02-19,"Kingston, Frontenac and Lennox & Addington"
2020-02-20,"Kingston, Frontenac and Lennox & Addington"
2020-02-21,"Kingston, Frontenac and Lennox & Addington"
2020-02-22,"Kingston, Frontenac and Lennox & Addington"
2020-02-23,"Kingston, Frontenac and Lennox & Addington"
2020-02-24,"Kingston, Frontenac and Lennox & Addington"
2020-02-25,"Kingston, Frontenac and Lennox & Addington"
2020-02-26,"Kingston, Frontenac and Lennox & Addington"
2020-02-27,"Kingston, Frontenac and Lennox & Addington"
2020-02-28,"Kingston, Frontenac and Lennox & Addington"
2020-02-29,"Kingston, Frontenac and Lennox & Addington"
2020-03-01,"Kingston, Frontenac and Lennox & Addington"
2020-03-02,"Kingston, Frontenac and Lennox & Addington"
2020-03-03,"Kingston, Frontenac and Lennox & Addington"
2020-03-04,"Kingston, Frontenac and Lennox & Addington"
2020-03-05,"Kingston, Frontenac and Lennox & Addington"
2020-03-06,"Kingston, Frontenac and Lennox & Addington"
2020-03-07,"Kingston, Frontenac and Lennox & Addington"
2020-03-08,"Kingston, Frontenac and Lennox & Addington"
2020-03-09,"Kingston, Frontenac and Lennox & Addington"
2020-03-10,"Kingston, Frontenac and Lennox & Addington"
2020-03-11,"Kingston, Frontenac and Lennox & Addington"
2020-03-12,"Kingston, Frontenac and Lennox & Addington"
2020-03-13,"Kingston, Frontenac and Lennox & Addington"
2020-03-14,"Kingston, Frontenac and Lennox & Addington"
2020-03-15,"Kingston, Frontenac and Lennox & Addington"
2020-03-16,"Kingston, Frontenac and Lennox & Addington"
2020-03-17,"Kingston, Frontenac and Lennox & Addington"
2020-03-18,"Kingston, Frontenac and Lennox & Addington"
2020-03-19,"Kingston, Frontenac and Lennox & Addington"
2020-03-20,"Kingston, Frontenac and Lennox & Addington"
2020-01-25,Chatham Kent
2020-01-26,Chatham Kent
2020-01-27,Chatham Kent
2020-01-28,Chatham Kent
2020-01-29,Chatham Kent
2020-01-30,Chatham Kent
2020-01-31,Chatham Kent
2020-02-01,Chatham Kent
2020-02-02,Chatham Kent
2020-02-03,Chatham Kent
2020-02-04,Chatham Kent
2020-02-05,Chatham Kent
2020-02-06,Chatham Kent
2020-02-07,Chatham Kent
2020-02-08,Chatham Kent
2020-02-09,Chatham Kent
2020-02-10,Chatham Kent
2020-02-11,Chatham Kent
2020-02-12,Chatham Kent
2020-02-13,Chatham Kent
2020-02-14,Chatham Kent
2020-02-15,Chatham Kent
2020-02-16,Chatham Kent
2020-02-17,Chatham Kent
2020-02-18,Chatham Kent
2020-02-19,Chatham Kent
2020-02-20,Chatham Kent
2020-02-21,Chatham Kent
2020-02-22,Chatham Kent
2020-02-23,Chatham Kent
2020-02-24,Chatham Kent
2020-02-25,Chatham Kent
2020-02-26,Chatham Kent
2020-02-27,Chatham Kent
2020-02-28,Chatham Kent
2020-02-29,Chatham Kent
2020-03-01,Chatham Kent
2020-03-02,Chatham Kent
2020-03-03,Chatham Kent
2020-03-04,Chatham Kent
2020-03-05,Chatham Kent
2020-03-06,Chatham Kent
2020-03-07,Chatham Kent
2020-03-08,Chatham Kent
2020-03-09,Chatham Kent
2020-03-10,Chatham Kent
2020-03-11,Chatham Kent
2020-03-12,Chatham Kent
2020-03-13,Chatham Kent
2020-03-14,Chatham Kent
2020-03-15,Chatham Kent
2020-03-16,Chatham Kent
2020-03-17,Chatham Kent
2020-03-18,Chatham Kent
2020-03-19,Chatham Kent
2020-03-20,Chatham Kent
2020-01-25,Brant
2020-01-26,Brant
2020-01-27,Brant
2020-01-28,Brant
2020-01-29,Brant
2020-01-30,Brant
2020-01-31,Brant
2020-02-01,Brant
2020-02-02,Brant
2020-02-03,Brant
2020-02-04,Brant
2020-02-05,Brant
2020-02-06,Brant
2020-02-07,Brant
2020-02-08,Brant
2020-02-09,Brant
2020-02-10,Brant
2020-02-11,Brant
2020-02-12,Brant
2020-02-13,Brant
2020-02-14,Brant
2020-02-15,Brant
2020-02-16,Brant
2020-02-17,Brant
2020-02-18,Brant
2020-02-19,Brant
2020-02-20,Brant
2020-02-21,Brant
2020-02-22,Brant
2020-02-23,Brant
2020-02-24,Brant
2020-02-25,Brant
2020-02-26,Brant
2020-02-27,Brant
2020-02-28,Brant
2020-02-29,Brant
2020-03-01,Brant
2020-03-02,Brant
2020-03-03,Brant
2020-03-04,Brant
2020-03-05,Brant
2020-03-06,Brant
2020-03-07,Brant
2020-03-08,Brant
2020-03-09,Brant
2020-03-10,Brant
2020-03-11,Brant
2020-03-12,Brant
2020-03-13,Brant
2020-03-14,Brant
2020-03-15,Brant
2020-03-16,Brant
2020-03-17,Brant
2020-03-18,Brant
2020-03-19,Brant
2020-03-20,Brant
2020-01-25,Algoma
2020-01-26,Algoma
2020-01-27,Algoma
2020-01-28,Algoma
2020-01-29,Algoma
2020-01-30,Algoma
2020-01-31,Algoma
2020-02-01,Algoma
2020-02-02,Algoma
2020-02-03,Algoma
2020-02-04,Algoma
2020-02-05,Algoma
2020-02-06,Algoma
2020-02-07,Algoma
2020-02-08,Algoma
2020-02-09,Algoma
2020-02-10,Algoma
2020-02-11,Algoma
2020-02-12,Algoma
2020-02-13,Algoma
2020-02-14,Algoma
2020-02-15,Algoma
2020-02-16,Algoma
2020-02-17,Algoma
2020-02-18,Algoma
2020-02-19,Algoma
2020-02-20,Algoma
2020-02-21,Algoma
2020-02-22,Algoma
2020-02-23,Algoma
2020-02-24,Algoma
2020-02-25,Algoma
2020-02-26,Algoma
2020-02-27,Algoma
2020-02-28,Algoma
2020-02-29,Algoma
2020-03-01,Algoma
2020-03-02,Algoma
2020-03-03,Algoma
2020-03-04,Algoma
2020-03-05,Algoma
2020-03-06,Algoma
2020-03-07,Algoma
2020-03-08,Algoma
2020-03-09,Algoma
2020-03-10,Algoma
2020-03-11,Algoma
2020-03-12,Algoma
2020-03-13,Algoma
2020-03-14,Algoma
2020-03-15,Algoma
2020-03-16,Algoma
2020-03-17,Algoma
2020-03-18,Algoma
2020-03-19,Algoma
2020-03-20,Algoma
2020-01-25,Haliburton Kawartha
2020-01-26,Haliburton Kawartha
2020-01-27,Haliburton Kawartha
2020-01-28,Haliburton Kawartha
2020-01-29,Haliburton Kawartha
2020-01-30,Haliburton Kawartha
2020-01-31,Haliburton Kawartha
2020-02-01,Haliburton Kawartha
2020-02-02,Haliburton Kawartha
2020-02-03,Haliburton Kawartha
2020-02-04,Haliburton Kawartha
2020-02-05,Haliburton Kawartha
2020-02-06,Haliburton Kawartha
2020-02-07,Haliburton Kawartha
2020-02-08,Haliburton Kawartha
2020-02-09,Haliburton Kawartha
2020-02-10,Haliburton Kawartha
2020-02-11,Haliburton Kawartha
2020-02-12,Haliburton Kawartha
2020-02-13,Haliburton Kawartha
2020-02-14,Haliburton Kawartha
2020-02-15,Haliburton Kawartha
2020-02-16,Haliburton Kawartha
2020-02-17,Haliburton Kawartha
2020-02-18,Haliburton Kawartha
2020-02-19,Haliburton Kawartha
2020-02-20,Haliburton Kawartha
2020-02-21,Haliburton Kawartha
2020-02-22,Haliburton Kawartha
2020-02-23,Haliburton Kawartha
2020-02-24,Haliburton Kawartha
2020-02-25,Haliburton Kawartha
2020-02-26,Haliburton Kawartha
2020-02-27,Haliburton Kawartha
2020-02-28,Haliburton Kawartha
2020-02-29,Haliburton Kawartha
2020-03-01,Haliburton Kawartha
2020-03-02,Haliburton Kawartha
2020-03-03,Haliburton Kawartha
2020-03-04,Haliburton Kawartha
2020-03-05,Haliburton Kawartha
2020-03-06,Haliburton Kawartha
2020-03-07,Haliburton Kawartha
2020-03-08,Haliburton Kawartha
2020-03-09,Haliburton Kawartha
2020-03-10,Haliburton Kawartha
2020-03-11,Haliburton Kawartha
2020-03-12,Haliburton Kawartha
2020-03-13,Haliburton Kawartha
2020-03-14,Haliburton Kawartha
2020-03-15,Haliburton Kawartha
2020-03-16,Haliburton Kawartha
2020-03-17,Haliburton Kawartha
2020-03-18,Haliburton Kawartha
2020-03-19,Haliburton Kawartha
2020-03-20,Haliburton Kawartha
2020-01-25,Hastings Prince Edward
2020-01-26,Hastings Prince Edward
2020-01-27,Hastings Prince Edward
2020-01-28,Hastings Prince Edward
2020-01-29,Hastings Prince Edward
2020-01-30,Hastings Prince Edward
2020-01-31,Hastings Prince Edward
2020-02-01,Hastings Prince Edward
2020-02-02,Hastings Prince Edward
2020-02-03,Hastings Prince Edward
2020-02-04,Hastings Prince Edward
2020-02-05,Hastings Prince Edward
2020-02-06,Hastings Prince Edward
2020-02-07,Hastings Prince Edward
2020-02-08,Hastings Prince Edward
2020-02-09,Hastings Prince Edward
2020-02-10,Hastings Prince Edward
2020-02-11,Hastings Prince Edward
2020-02-12,Hastings Prince Edward
2020-02-13,Hastings Prince Edward
2020-02-14,Hastings Prince Edward
2020-02-15,Hastings Prince Edward
2020-02-16,Hastings Prince Edward
2020-02-17,Hastings Prince Edward
2020-02-18,Hastings Prince Edward
2020-02-19,Hastings Prince Edward
2020-02-20,Hastings Prince Edward
2020-02-21,Hastings Prince Edward
2020-02-22,Hastings Prince Edward
2020-02-23,Hastings Prince Edward
2020-02-24,Hastings Prince Edward
2020-02-25,Hastings Prince Edward
2020-02-26,Hastings Prince Edward
2020-02-27,Hastings Prince Edward
2020-02-28,Hastings Prince Edward
2020-02-29,Hastings Prince Edward
2020-03-01,Hastings Prince Edward
2020-03-02,Hastings Prince Edward
2020-03-03,Hastings Prince Edward
2020-03-04,Hastings Prince Edward
2020-03-05,Hastings Prince Edward
2020-03-06,Hastings Prince Edward
2020-03-07,Hastings Prince Edward
2020-03-08,Hastings Prince Edward
2020-03-09,Hastings Prince Edward
2020-03-10,Hastings Prince Edward
2020-03-11,Hastings Prince Edward
2020-03-12,Hastings Prince Edward
2020-03-13,Hastings Prince Edward
2020-03-14,Hastings Prince Edward
2020-03-15,Hastings Prince Edward
2020-03-16,Hastings Prince Edward
2020-03-17,Hastings Prince Edward
2020-03-18,Hastings Prince Edward
2020-03-19,Hastings Prince Edward
2020-03-20,Hastings Prince Edward
